Id	Length	HS	PT	GG	NL	#1#
ENST00000367255	8735	289,318,431,904,1533,1677,2205,2273,2324,2629,2747,2962,3377,3406,3721,3774,4007,4053,4101,4575,4629,4842,4994,5054,5254,6062,6511,6713,6721,7036,7170,7240,8195,8320	191,302,894,1297,1679,1786,2294,2430,2749,3599,3761,5013,5073,5597	658,1299,1481,2282,2343,2418,2631,2762,2786,3118,3496,3726,3765,3845,3935,4090,4195,4214,4603,4830,4966,5015,6874,7261	229,307,309,339,368,763,921,976,1103,1106,1140,1160,1305,1470,1496,1637,1668,1741,1885,2005,2216,2220,2311,2319,2329,2383,2665,2713,2730,2767,2790,2860,2964,3006,3026,3103,3105,3111,3345,3420,3572,3650,3776,3961,4103,4120,4121,4203,4350,4694,4809,4810,5033,5066,5359,5431,5463,5558,5577,5739,5932,6098,6138,6163,6202,6207,6272,6338,6352,6474,6614,6716,6821,6881,6987,7037,7046,7197,7586,7670,7692,7787,8179,8237,8350,8406,8537,8628	3128,3387,4586,5193,5413,6261,8677
ENST00000570156	7241	233,260,531,639,687,1211,1325,1328,1798,1808,2407,2624,2986,3422,3766,3804,3816,4767,4906,5366,5475,5635,5752,5872,5902,5906,5976,6073,6193,6499,6765,6969,7123	57,496,615,631,676,797,1019,1079,1118,1120,1275,1302,1376,2021,2099,2349,2383,2455,2539,2676,2729,3036,3102,3140,3237,3281,3602,4054,4126,4811,4824,5252,5272,5555,5921,5932,6092,6373,6391,6462,6464,6479,6512,6558,6564,6590,6592,6614,6667	243,290,415,437,516,537,724,871,899,916,917,927,947,962,975,999,1061,1063,1093,1123,1124,1127,1128,1139,1165,1177,1208,1258,1259,1274,1288,1314,1371,1373,1381,1395,1571,1575,1889,2505,2586,2778,2969,3060,3071,3100,3113,3128,3134,3136,3137,3145,3154,3157,3166,3173,3184,3190,3193,3205,3215,3268,3277,3291,3300,3322,3446,3499,3770,3822,3855,4007,4253,4463,4478,4790,4960,5386,5833,5905,5970,5974,6163,6522,6542,6550,6606,6856,6887,6949,6993,7220	62,63,184,276,346,347,449,482,530,562,570,641,654,672,679,692,707,749,771,841,891,989,992,1003,1005,1006,1037,1049,1066,1069,1073,1084,1113,1180,1199,1240,1242,1246,1248,1254,1272,1277,1292,1303,1313,1330,1336,1342,1360,1380,1400,1419,1422,1434,1455,1465,1528,1548,1589,1610,1652,1662,1728,1774,1932,1981,1989,2065,2098,2306,2381,2385,2425,2474,2477,2504,2514,2557,2590,2593,2596,2598,2654,2683,2717,2726,2753,2802,2817,2845,2850,2851,2874,2882,2901,2902,2952,2985,2991,3067,3092,3099,3110,3111,3143,3159,3162,3180,3199,3200,3202,3208,3211,3212,3220,3227,3235,3242,3244,3247,3258,3259,3288,3319,3325,3334,3340,3346,3374,3376,3386,3388,3399,3400,3403,3404,3411,3425,3426,3435,3437,3444,3455,3456,3460,3466,3474,3480,3483,3490,3492,3495,3506,3507,3509,3511,3513,3517,3519,3536,3540,3543,3592,3594,3645,3681,3701,3767,3824,3871,3878,3939,3988,4087,4104,4244,4270,4295,4392,4432,4453,4462,4467,4471,4482,4488,4489,4507,4644,4646,4661,4768,4773,4926,5034,5112,5155,5163,5238,5257,5263,5355,5482,5493,5544,5557,5627,5670,5697,5712,5813,5849,5851,5870,5919,5924,6016,6026,6041,6059,6197,6208,6220,6307,6501,6507,6560,6586,6593,6623,6645,6663,6674,6736,6737,6750,6834,6850,6862,6872,6929,6944,6972,7091,7128,7233,7234,7236,7238,7240	959,1043,1058,1081,1085,1154,1214,1218,1392,1410,1428,1822,2338,2587,2867,2971,3085,3093,3097,3106,3117,3131,3174,3266,3271,3285,3286,3297,3326,3344,3381,4465,5436,5897,6589,6787,6794
ENST00000424728	6513	13,280,535,589,625,748,909,1199,1679,1746,2187,2492,3160,3475,3520,3556,3665,3776,3822,3835,4174,4254,4440,4999,5043,5078,5183,5218,5248,5622,5745,5815,5823,5848,6326,6358	437,546,567,806,810,1086,1119,1171,1311,1605,1696,1743,2019,2227,2658,2955,3095,3294,3642,3797,3848,4266,4309,4334,4469,4903,4973,5472,5603,5767,5941,6024,6138,6338,6339,6371	173,196,343,377,557,711,808,954,983,1020,1064,1209,1244,1601,1621,1749,1761,1793,1830,1934,2016,2076,2178,2292,2440,2546,2662,2672,2734,2796,2825,2886,2918,2925,3154,3175,3360,3400,3701,3713,3931,4245,4501,4762,5088,5151,5323,5349,5497,5505,5613,5619,5755,5839,6086,6192,6261,6294	22,32,161,169,217,257,312,342,381,395,402,464,467,521,583,621,622,636,733,751,768,844,860,873,908,932,949,998,1030,1085,1098,1109,1134,1202,1224,1261,1324,1374,1379,1388,1393,1406,1418,1457,1478,1500,1546,1602,1623,1665,1668,1675,1730,1780,1816,1821,1844,1848,1854,1856,1875,1880,1907,1936,2035,2060,2074,2078,2109,2140,2167,2208,2220,2254,2291,2328,2342,2403,2410,2425,2481,2495,2509,2524,2576,2593,2595,2612,2626,2648,2651,2661,2665,2687,2754,2780,2785,2788,2794,2865,2873,2904,2914,2942,3059,3068,3079,3082,3096,3119,3144,3196,3212,3268,3289,3300,3311,3316,3376,3380,3391,3460,3481,3519,3567,3617,3631,3717,3727,3730,3743,3755,3762,3810,3811,3838,3842,3883,3962,4058,4089,4132,4134,4196,4207,4216,4246,4252,4265,4344,4375,4383,4401,4402,4418,4457,4462,4581,4592,4647,4657,4767,4810,4813,4859,4868,4870,4894,4900,5006,5013,5034,5042,5109,5132,5173,5273,5280,5343,5350,5360,5373,5382,5383,5405,5446,5473,5509,5534,5553,5564,5618,5623,5656,5663,5672,5719,5725,5806,5818,5826,5890,5892,5928,6017,6043,6046,6059,6063,6242,6252,6275,6321,6355,6372,6377,6454,6479,6498	316,368,514,938,942,1243,1413,1596,1732,2004,2089,2166,2349,2779,5257,5284,5464,5573,5909,6478
ENST00000358025	6678	295,496,512,645,719,782,820,1033,1533,1738,1838,1854,1897,2127,2229,2253,2296,2841,2992,3036,3213,3249,3709,3883,4009,4300,4368,4480,4529,4813,5010,5459,5582,6307,6475,6533,6569,6626	165,260,313,364,376,507,747,753,920,1026,1352,1547,2166,2348,2724,3079,3161,3774,3865,4117,4148,4313,4522,4561,4614,4909,5048,5219,6497,6529	212,484,636,687,983,1446,1485,1762,2169,2304,2385,2449,2744,2746,2757,2843,2890,3085,3105,3179,3206,3220,3459,3618,3633,3923,4083,4090,4101,4145,4189,4225,4397,4535,5290,5322,5335,5513,5556,6339,6356,6613	11,20,141,190,235,243,279,283,293,359,380,400,500,620,770,815,852,916,990,1000,1035,1043,1062,1077,1103,1126,1131,1187,1249,1253,1274,1281,1300,1330,1337,1361,1436,1511,1569,1623,1764,1796,1856,1890,1909,1918,1934,1963,1978,2218,2260,2316,2360,2403,2469,2484,2541,2565,2602,2613,2630,2633,2754,2762,2786,2796,2807,2816,2922,2930,2963,2983,3017,3109,3168,3180,3189,3193,3219,3242,3260,3262,3315,3423,3432,3443,3466,3480,3515,3560,3563,3579,3634,3657,3699,3735,3813,3909,3912,3922,3946,3959,3983,4010,4018,4045,4048,4055,4070,4121,4154,4251,4307,4395,4460,4500,4643,4920,4921,5065,5136,5197,5275,5328,5347,5348,5389,5409,5496,5504,5519,5532,5546,5555,5578,5618,6007,6159,6313,6314,6331,6430,6442,6482,6560,6593	1161,4094,6491
ENST00000405460	6305	625,981,1092,1231,1281,1716,1788,1950,2104,2346,2356,2583,2912,2927,3181,3470,3498,3599,3708,3779,3854,4291,4527,4633,5228,5343,5384,5426,5456,5897,6069,6149,6203	162,211,702,775,908,1073,1319,1729,1860,2236,2459,2654,3096,3537,3570,3571,3589,3751,3801,4454,4783,5137,5771,5775,6094	75,156,722,878,1070,1192,1277,1293,1554,1601,1623,1817,1840,1883,1926,1948,2159,2206,2392,2511,2949,2997,3027,3273,3301,3598,3788,3892,3913,4098,4124,4328,4352,4395,4425,4934,5001,5346,6132	16,208,249,290,332,359,360,396,414,431,440,548,762,839,855,997,1068,1080,1351,1356,1530,1564,1859,1885,1953,1962,2205,2213,2331,2426,2435,2525,2564,2624,2806,2867,2898,3060,3155,3408,3467,3817,3885,3920,3970,3999,4006,4126,4133,4146,4154,4193,4325,4341,4354,4414,4578,4698,4699,4732,4744,4773,4832,4897,5077,5143,5183,5231,5265,5276,5301,5355,5375,5416,5417,5440,5679,5712,5790,5794,5860,5927,5960,5972,6220	1977,2083,2188,2888,4258,4302,5003
ENST00000378024	109	105		23	51,82,92,103,106	
ENST00000369393	5416	277,594,638,1238,1267,1455,2358,2610,3130,3232,4154,4311,4365,4517,4677	175,212,829,872,1467,3469,3670,3888,4088,4185,4268,4318,4347,4367,4770	648,898,932,933,1353,1408,1866,1939,2125,2544,2611,2867,2882,2889,3009,3050,3272,3433,3646,3972,4100,4127,4217,4248,4414,4643,5305	70,119,214,240,245,253,310,353,405,474,499,833,871,1075,1402,1452,1517,2012,2088,2109,2113,2256,2320,2336,2377,2413,2440,2522,2774,2803,2860,2938,2942,3037,3081,3098,3169,3178,3263,3296,3346,3354,3409,3421,3432,3679,3784,3877,3891,3905,3928,4137,4155,4172,4178,4195,4201,4208,4224,4470,4493,4689,4803,4828,4832,4863,4946,5019,5263,5306,5387	1309,2556,2958,3185,3485,3988
ENST00000301067	5194	213,404,419,627,735,747,2252,2377,2854,3341,3532,3818,4523,4607	49,368,456,1015,1022,3108,3169,4332,4480	318,544,645,646,655,694,1012,2095,2979,3239,3288,3353,3627,4106,4109,4281	106,206,335,417,555,609,611,690,730,749,758,767,827,899,914,1018,1104,1675,2086,2097,2404,2527,2735,2739,2786,2829,3037,3049,3060,3240,3802,3803,3942,3957,3983,4103,4224,4233,4347,4422,4424,4591,4657	450,519,529,2191,3651,4000,4206,4532,4699
ENST00000447166	4994	27,108,196,211,499,883,965,1033,1196,1462,1515,1533,1542,2085,2277,2342,2376,2435,2467,2495,3134,3203,3345,3517,3608,3652,3756,3759,3764,4107,4109,4191,4266,4280,4343,4400,4687,4761,4769,4775,4789,4798,4816	23,591,617,756,765,864,1012,1057,1284,1429,1556,1667,1979,2143,2144,2284,2721,2749,2881,2947,2983,3041,3088,3453,3521,3960,3974,3985,4073,4114,4282,4291,4512,4625,4688,4783,4830	77,85,192,288,544,716,762,898,1169,1264,1416,1495,1500,1664,1673,1894,2504,2587,2764,2771,2830,2852,2857,2864,2950,3036,3117,3145,3354,3395,3494,3510,3668,3798,3854,3970,4276,4334,4404,4421,4654,4753,4972	9,14,34,90,95,103,106,125,157,167,200,277,338,357,366,378,388,390,395,404,412,426,435,436,481,482,508,540,545,621,623,637,640,642,650,651,704,719,736,757,775,850,933,943,975,976,984,990,997,1014,1123,1137,1140,1159,1171,1172,1174,1187,1194,1234,1236,1243,1249,1255,1283,1289,1335,1354,1370,1387,1388,1413,1426,1427,1439,1451,1457,1459,1519,1532,1560,1562,1607,1632,1702,1726,1733,1786,1789,1820,1845,1850,1876,1888,1915,1920,1972,1994,2006,2012,2027,2134,2160,2171,2184,2188,2220,2235,2240,2259,2265,2268,2276,2369,2380,2386,2398,2407,2420,2421,2477,2484,2502,2535,2540,2578,2609,2624,2628,2645,2650,2680,2698,2706,2722,2753,2779,2805,2829,2899,2901,2946,2970,2976,2999,3037,3127,3163,3179,3192,3206,3207,3214,3225,3261,3273,3284,3294,3316,3344,3352,3394,3433,3497,3565,3605,3618,3632,3695,3742,3758,3790,3811,3834,3838,3843,3871,3953,4002,4020,4042,4150,4158,4171,4221,4279,4292,4335,4387,4423,4463,4474,4482,4523,4536,4549,4600,4631,4636,4672,4682,4685,4702,4727,4736,4741,4748,4749,4751,4756,4767,4770,4773,4799,4807,4811,4812,4815,4820,4828,4842,4880,4906,4909,4936,4944,4955,4973	608,1435,1603,1949,2515,2869,2871,2875,2876,2880,3171,3247,4520,4537,4580,4801,4809
ENST00000508628	5006	16,98,232,302,307,337,338,620,827,1029,1064,1080,1125,1139,1166,1262,1300,2226,2230,2495,2649,3084,3096,3144,3148,3181,3600,3880,3884,3987,3993,4155,4228,4410,4704,4718,4925	51,290,391,413,420,429,534,563,660,1072,1096,1388,1588,1647,1651,1715,1812,1866,2015,2049,2505,2608,2619,2644,2795,3171,3202,3404,3473,3531,3633,3710,3788,3881,3997,4044,4198,4264,4399,4499,4651,4771	8,148,183,207,267,331,367,394,562,629,750,765,920,1031,1204,1256,1348,1516,1674,1706,1852,3319,3354,3373,3461,3493,3590,3594,3736,3755,3810,3929,4129,4511,4563,4988	14,37,45,60,64,65,73,75,80,83,85,90,123,127,128,135,137,138,140,142,149,187,200,247,276,293,297,309,319,321,328,330,350,357,373,401,408,411,414,416,425,430,434,441,446,449,453,455,457,466,476,477,479,487,491,507,515,516,519,521,523,525,537,540,553,573,576,579,580,582,588,591,598,605,608,609,614,618,643,645,646,650,653,654,683,684,692,693,695,703,740,751,753,768,771,816,819,869,882,885,902,903,905,917,921,935,953,960,961,975,991,1000,1005,1009,1013,1015,1054,1057,1075,1102,1111,1124,1143,1149,1169,1170,1199,1216,1221,1228,1264,1269,1315,1318,1330,1333,1347,1379,1426,1429,1448,1456,1458,1463,1472,1482,1487,1495,1547,1559,1577,1584,1611,1618,1644,1652,1654,1664,1675,1682,1699,1728,1765,1770,1782,1808,1809,1845,1854,1876,1904,1910,1912,1929,1933,1940,1992,2005,2012,2048,2067,2074,2095,2096,2105,2129,2148,2158,2170,2215,2218,2219,2244,2259,2264,2272,2295,2333,2397,2441,2483,2492,2501,2503,2506,2509,2516,2521,2538,2564,2593,2594,2596,2609,2618,2633,2712,2751,2799,2800,2804,2825,2833,2836,2886,2907,2925,2926,2954,2975,2979,2998,3042,3099,3100,3139,3165,3173,3199,3203,3206,3232,3269,3290,3298,3299,3344,3352,3360,3423,3451,3458,3469,3490,3495,3504,3559,3572,3613,3614,3624,3631,3663,3675,3683,3689,3729,3732,3733,3750,3753,3759,3786,3796,3832,3855,3863,3876,3891,3902,3913,3914,3917,3920,3932,3935,3947,3962,3973,3988,3991,4030,4061,4069,4075,4085,4137,4140,4144,4148,4156,4192,4202,4218,4231,4234,4236,4241,4243,4254,4261,4275,4296,4300,4302,4319,4336,4341,4348,4350,4365,4381,4441,4460,4462,4467,4468,4492,4497,4500,4502,4528,4594,4603,4608,4627,4649,4665,4666,4690,4705,4744,4749,4803,4825,4846,4854,4856,4862,4895,4908,4929,4950,4952,4954,4966,5001,5004	353,870,1011,1020,2398,2837,3198,3278,3315,4325,4362,4949
